City,Year,Week,Average Duration (sec),Number Trips,Number Stations,Number Bikes
Portland,2016,29,1832.6342710997442,3519,96.77919863597613,659.8883205456095
Portland,2016,30,1984.2842942345924,6036,100.0,944.9582504970178
Portland,2016,31,1937.967971530249,5620,100.0,984.74128113879
Portland,2016,32,2029.5597746713959,4793,100.0,989.5827248070102
Portland,2016,33,2045.2064128256513,4990,100.0,991.0637274549098
Portland,2016,34,1980.581664910432,4745,100.0,994.7951527924131
Portland,2016,35,1859.718969555035,1708,100.0,996.0
Portland,2017,22,1846.3266623628147,1549,125.00710135571336,998.0
Portland,2017,23,1896.5925266903914,2248,131.30782918149467,998.0
Portland,2017,24,1796.441379310345,1450,134.0255172413793,998.0
Portland,2017,25,2041.2939400474445,4637,136.78348069872763,998.0
Portland,2017,26,2129.8371335504885,3684,138.91422366992398,998.0
Portland,2017,27,2154.0251466890195,5965,139.0,998.0
Portland,2017,28,2028.3816892327532,4653,140.6013324736729,998.0
Portland,2017,29,2148.2050200379667,4741,141.4412571187513,998.0
Portland,2017,30,1934.1500203832043,4906,142.0,998.0
Portland,2017,31,1920.466048609371,3991,142.0,998.0
Portland,2017,32,2017.4283810792804,4503,142.0,998.0
Portland,2017,33,2061.4691943127964,5064,142.82800157977883,998.0
Portland,2017,34,2051.72592784843,3853,143.0,998.0
Portland,2017,35,1917.5560925094926,2897,143.0,998.0
Portland,2018,22,1868.1311475409836,915,158.94535519125682,1012.0
Portland,2018,23,1778.5423428740041,3389,172.13189731484215,1012.0
Portland,2018,24,1787.5684931506848,4088,173.1179060665362,1012.0
Portland,2018,25,1875.466804979253,1928,174.0,1012.0
Portland,2018,26,1897.2972972972973,4884,177.33517608517607,1012.0
Portland,2018,27,1960.193401592719,5274,179.0,1012.0
Portland,2018,28,1905.1136363636363,4752,180.0,1012.8032407407408
Portland,2018,29,1899.8634567014014,5566,180.05425799496945,1013.1496586417535
Portland,2018,30,1844.164265129683,4164,181.13760806916426,1014.0
Portland,2018,31,1961.9402434526005,2711,182.0,1014.5802286978975
Portland,2018,32,1869.3233724653148,4685,182.2708644610459,1022.4375667022412
Portland,2018,33,1854.9024274155165,4202,183.0,1025.0
Portland,2018,34,1771.1830985915492,2840,183.0,1025.0
Portland,2018,35,1825.8736842105263,2850,183.17649122807018,1025.0
Portland,2019,23,1733.6657824933686,1885,194.0,1037.0
Portland,2019,24,1825.293315143247,3665,194.7607094133697,1037.655661664393
Portland,2019,25,1744.1685965724873,2159,196.0,1038.0
Portland,2019,26,1783.2283464566929,3048,196.0,1038.0
Portland,2019,27,1888.4843869002284,3939,196.5115511551155,1038.0
Portland,2019,28,1747.2148690509716,3551,200.21768515911012,1038.0
Portland,2019,29,1797.4882786336236,2986,201.0,1038.0
Portland,2019,30,1752.906976744186,3096,201.0,1038.0
Portland,2019,31,1744.543429844098,3592,201.61804008908686,1038.869153674833
Portland,2019,32,1764.5294117647059,1360,203.46323529411765,1039.0
Portland,2019,33,1741.7282608695652,3680,204.0,1039.0
Portland,2019,34,1693.2495088408643,2545,205.0,1039.0
Portland,2019,35,1776.1398397669336,2746,205.0,1039.0
